location,name,address,ispotable,available,created_at,photo,description,watersourcetype
"{""latitude"": 40.76512869967993, ""longitude"": 0.3154936787840309}",FONT DEL CINGLE 43133-0523,"Camí De Casetes Velles, 43529 Roquetes, Tarragona, Spain",,,2024-05-11 16:26:21,,"FONT DEL CINGLE del ROQUETES de la Baix Ebre, es Ebre EBRE, L' , Ports de TortosaPorts de Tortosa",publico
"{""latitude"": 40.75230138669849, ""longitude"": 0.317430389628504}",FONT CENDROSA 43133-0036,"Camí De Casetes Velles, 43529 Roquetes, Tarragona, Spain",,,2024-05-11 16:26:21,,"FONT CENDROSA del ROQUETES de la Baix Ebre, es Ebre EBRE, L' , Ports de TortosaPorts de Tortosa",publico
"{""latitude"": 40.75230138669849, ""longitude"": 0.317430389628504}",FONT CENDROSA 43133-0036,"Camí De Casetes Velles, 43529 Roquetes, Tarragona, Spain",,,2024-05-11 16:26:21,,"FONT CENDROSA del ROQUETES de la Baix Ebre, es Ebre EBRE, L' , Ports de TortosaPorts de Tortosa",publico
"{""latitude"": 40.75230138669849, ""longitude"": 0.317430389628504}",FONT CENDROSA 43133-0036,"Camí De Casetes Velles, 43529 Roquetes, Tarragona, Spain",,,2024-05-11 16:26:21,,"FONT CENDROSA del ROQUETES de la Baix Ebre, es Ebre EBRE, L' , Ports de TortosaPorts de Tortosa",publico
"{""latitude"": 40.74027807563699, ""longitude"": 0.3185956854023854}",FONT L'AIGÜETA 43077-0033,"Camí De Casetes Velles, 43514 Mas de Barberans, Tarragona, Spain",,,2024-05-11 16:26:21,,"FONT L'AIGÜETA del MAS DE BARBERANS de la Montsià, es Ebre EBRE, L' , Ports de TortosaPorts de Tortosa",publico
"{""latitude"": 40.87611443939732, ""longitude"": 0.3134119009474315}",ULLAL DEL FRANXO 43071-0040,"Pista De La Muntanyola, 43596 Horta de Sant Joan, Tarragona, Spain",,,2024-05-11 16:26:21,,"ULLAL DEL FRANXO del HORTA DE SANT JOAN de la Terra Alta, es Ebre EBRE, L' , Ports de Beseit (CHE)_Cat",publico
"{""latitude"": 40.87611443939732, ""longitude"": 0.3134119009474315}",ULLAL DEL FRANXO 43071-0040,"Pista De La Muntanyola, 43596 Horta de Sant Joan, Tarragona, Spain",,,2024-05-11 16:26:21,,"ULLAL DEL FRANXO del HORTA DE SANT JOAN de la Terra Alta, es Ebre EBRE, L' , Ports de Beseit (CHE)_Cat",publico
"{""latitude"": 40.87611443939732, ""longitude"": 0.3134119009474315}",ULLAL DEL FRANXO 43071-0040,"Pista De La Muntanyola, 43596 Horta de Sant Joan, Tarragona, Spain",,,2024-05-11 16:26:21,,"ULLAL DEL FRANXO del HORTA DE SANT JOAN de la Terra Alta, es Ebre EBRE, L' , Ports de Beseit (CHE)_Cat",publico
"{""latitude"": 40.89520433094606, ""longitude"": 0.3129924499578286}",FONT DEL BLANCO 43071-0098,"Carretera D'horta De Sant Joan 22, 43596 Horta de Sant Joan, Tarragona, Spain",,,2024-05-11 16:26:21,,"FONT DEL BLANCO del HORTA DE SANT JOAN de la Terra Alta, es Ebre EBRE, L' , Ports de Beseit (CHE)_Cat",publico
"{""latitude"": 40.79900368478662, ""longitude"": 0.3170086263498912}",FONT DELS BASSIETS 43133-0526,"Camí 71 Cm Ports 10, 43529 Roquetes, Tarragona, Spain",,,2024-05-11 16:26:21,,"FONT DELS BASSIETS del ROQUETES de la Baix Ebre, es Ebre EBRE, L' , Ports de Beseit (CHE)_Cat",publico
"{""latitude"": 40.75165251656982, ""longitude"": 0.3191621552651111}",FONT NOVA 43133-0041,"Camí De Casetes Velles, 43529 Roquetes, Tarragona, Spain",,,2024-05-11 16:26:21,,"FONT NOVA del ROQUETES de la Baix Ebre, es Ebre EBRE, L' , Ports de TortosaPorts de Tortosa",publico
"{""latitude"": 40.86652621454444, ""longitude"": 0.3145443403903801}",FONT DE LA BARRINADA O DE BARRINÀ 43071-0127,"Pista De Vall D'uixó 21, 43596 Horta de Sant Joan, Tarragona, Spain",,,2024-05-11 16:26:21,,"FONT DE LA BARRINADA O DE BARRINÀ del HORTA DE SANT JOAN de la Terra Alta, es Ebre EBRE, L' , Ports de Beseit (CHE)_Cat",publico
"{""latitude"": 40.7066503767492, ""longitude"": 0.3210655728290817}",FONT JOANA 43077-0016,"43514, Mas de Barberans, Tarragona, Spain",,,2024-05-11 16:26:21,,"FONT JOANA del MAS DE BARBERANS de la Montsià, es Ebre EBRE, L' , Ports de TortosaPorts de Tortosa",publico
"{""latitude"": 40.94970337471872, ""longitude"": 0.3113647987159416}",FONT DE CUCURULLA 43071-0113,"Camí De Les Montcades, 43596 Horta de Sant Joan, Tarragona, Spain",,,2024-05-11 16:26:21,,"FONT DE CUCURULLA del HORTA DE SANT JOAN de la Terra Alta, es Ebre EBRE, L' , nan",publico
"{""latitude"": 40.64511825124303, ""longitude"": 0.2509929068987046}",BARRANC DE L'ULLASTRE 12096-0002,"Camí De L'espona, 12511 Rossell, Castellón, Spain",,,2024-05-11 16:26:21,,"BARRANC DE L'ULLASTRE del ROSSELL de la nan, es   , nan",publico
"{""latitude"": 40.78953917646547, ""longitude"": 0.245540907545122}",FONT DEL ROJAL 43155-1294,"Pista De Tall Nou, 43529 Tortosa, Tarragona, Spain",,,2024-05-11 16:26:21,,"FONT DEL ROJAL del TORTOSA de la Baix Ebre, es Ebre EBRE, L' , Ports de Beseit (CHE)_Cat",publico
"{""latitude"": 40.73565699602546, ""longitude"": 0.2482137120951949}",FONT COVA DELS BOUS 43044-0041,"Camí De La Fou, 43560 La Sénia, Tarragona, Spain",,,2024-05-11 16:26:21,,"FONT COVA DELS BOUS del SÉNIA, LA de la Montsià, es Xúquer SÉNIA, RIU DE LA , Ports de Beseit (CHX)_Cat",publico
"{""latitude"": 40.75220847990256, ""longitude"": 0.2484429240108339}",FONT DE LA VALLCANERA 43044-0045,"Camí De Les Valcaneres, 43560 La Sénia, Tarragona, Spain",,,2024-05-11 16:26:21,,"FONT DE LA VALLCANERA del SÉNIA, LA de la Montsià, es Xúquer SÉNIA, RIU DE LA , Ports de Beseit (CHX)_Cat",publico
"{""latitude"": 40.75220847990256, ""longitude"": 0.2484429240108339}",FONT DE LA VALLCANERA 43044-0045,"Camí De Les Valcaneres, 43560 La Sénia, Tarragona, Spain",,,2024-05-11 16:26:21,,"FONT DE LA VALLCANERA del SÉNIA, LA de la Montsià, es Xúquer SÉNIA, RIU DE LA , Ports de Beseit (CHX)_Cat",publico
"{""latitude"": 40.75175076806259, ""longitude"": 0.2492671999630106}",FONT PETITA DEL MAS DE LA VALLCANERA 43044-0048,"Camí De Les Valcaneres, 43560 La Sénia, Tarragona, Spain",,,2024-05-11 16:26:21,,"FONT PETITA DEL MAS DE LA VALLCANERA del SÉNIA, LA de la Montsià, es Xúquer SÉNIA, RIU DE LA , Ports de Beseit (CHX)_Cat",publico
"{""latitude"": 40.73365516127836, ""longitude"": 0.2522747616678228}",FONT DEL TEIX (LA FOU) 43044-0023,"Camí De La Fou, 43560 La Sénia, Tarragona, Spain",,,2024-05-11 16:26:21,,"FONT DEL TEIX (LA FOU) del SÉNIA, LA de la Montsià, es Xúquer SÉNIA, RIU DE LA , Ports de Beseit (CHX)_Cat",publico
"{""latitude"": 40.7531604115818, ""longitude"": 0.2535014236585967}",FONT DE LA CARRASCA O DEL RIBET 43044-0049,"Pista Del Barranc De La Carrasca, 43560 La Sénia, Tarragona, Spain",,,2024-05-11 16:26:21,,"FONT DE LA CARRASCA O DEL RIBET del SÉNIA, LA de la Montsià, es Xúquer SÉNIA, RIU DE LA , Ports de Beseit (CHX)_Cat",publico
"{""latitude"": 40.79811179005433, ""longitude"": 0.2532695708341168}",FONT DE LA FERRADURA 43155-1295,"43529, Tortosa, Tarragona, Spain",,,2024-05-11 16:26:21,,"FONT DE LA FERRADURA del TORTOSA de la Baix Ebre, es Ebre EBRE, L' , Ports de Beseit (CHE)_Cat",publico
"{""latitude"": 40.85519725045077, ""longitude"": 0.2511937214435386}",FONT DEL TOLL DEL VIDRE 44037-0021,"Camí De L'algars A L'ulldemò, 44588 Beceite, Teruel, Spain",,,2024-05-11 16:26:21,,"FONT DEL TOLL DEL VIDRE del BECEITE de la nan, es Ebre EBRE, L' , Ports de Tortosa",publico
"{""latitude"": 40.79000347221928, ""longitude"": 0.2546231433120555}",FONT DE TALL NOU 43155-1296,"Pista De Tall Nou, 43529 Tortosa, Tarragona, Spain",,,2024-05-11 16:26:21,,"FONT DE TALL NOU del TORTOSA de la Baix Ebre, es Ebre EBRE, L' , Ports de Beseit (CHE)_Cat",publico
